000596f9-cede-48bb-af79-ebe5dda73626	00000000-0000-0000-0000-000000000000	7ad3c5a0-9c7e-4a99-ab9e-5d210993181a	false	7615	2025-11-09 15:28:00.97803
00977e93-a932-4761-bbb5-247295559276	00000000-0000-0000-0000-000000000000	74b8cbf1-0781-4240-955f-9f347d77719f	false	18346	2025-11-12 13:40:18.871332
01397553-9eef-4800-8068-b1bcc8153565	00000000-0000-0000-0000-000000000000	f638cc89-63eb-4607-85f2-e07fc8a7675a	false	60403	2025-11-26 12:59:41.958995
01a4d635-7a61-4a0d-9a2f-55586b580582	00000000-0000-0000-0000-000000000000	d9d45c2a-fc95-4e99-bed7-fe1a46e03453	false	20736	2025-11-14 14:59:33.115112
01af143a-b015-40f8-a459-a20ced5e675f	00000000-0000-0000-0000-000000000000	214405a8-cc68-46cb-9958-b69506f791bc	false	9469	2025-11-22 01:04:05.238932
03d4ccf6-2617-4d8b-b780-0c59ffda4626	00000000-0000-0000-0000-000000000000	d616efa2-34fb-461d-86c6-276159db3f0c	false	22729	2025-11-09 14:14:24.749392
07e35ed2-24ec-48a8-bff2-d1ddf840edc2	00000000-0000-0000-0000-000000000000	5eeb0fb7-6a6b-4683-9aa3-44ae63915bb9	false	7052	2025-11-10 11:22:54.698359
0a8f291d-59c3-425b-ad8c-9f9732f1cdd9	00000000-0000-0000-0000-000000000000	370a3768-6c88-4642-bcaa-c485b1b909c1	false	2062941	2025-11-09 12:42:35.173445
11db0a2a-9823-4bb6-9174-deeb53b368b6	00000000-0000-0000-0000-000000000000	f638cc89-63eb-4607-85f2-e07fc8a7675a	true	39159	2025-11-21 17:21:06.963199
11ef958d-ddde-4935-92a9-d528a42069d3	00000000-0000-0000-0000-000000000000	b76d1c9a-b3f4-41f5-8800-b1cf7bd8d87f	false	36943	2025-11-22 01:05:48.404061
139a8a46-4eb1-4530-867f-11acae510274	00000000-0000-0000-0000-000000000000	247bdc57-0e9a-4a0d-b220-0fe234543c47	false	9812	2025-11-22 01:10:29.415097
149c3fde-7d40-4b06-8b0c-1f41657b8d4a	00000000-0000-0000-0000-000000000000	d1946525-45be-44ca-8c27-bd38ea7b11ac	false	21844	2025-11-21 17:16:08.728134
15758b5f-ff5e-4782-85c6-accf7f6bed85	00000000-0000-0000-0000-000000000000	159277c4-6d53-4ac3-a99c-103f8da76515	true	9447	2025-11-26 12:36:35.269588
15908b7e-9069-48f8-8135-bdb4f55c847e	00000000-0000-0000-0000-000000000000	7823ca16-5c2b-45fa-b26d-8a5b58fc45c3	false	229649	2025-11-22 01:10:04.740942
15b98f98-5cbc-42e1-9633-4ab03db586f5	00000000-0000-0000-0000-000000000000	1ff4e6db-2004-42ea-8bf1-35e6f969a7a2	true	5147	2025-11-21 17:20:27.710126
192d78b4-a991-4338-a4b1-c0062f9a7086	00000000-0000-0000-0000-000000000000	dab39aac-9bb3-45fa-b01b-5dbf3f1bed4b	false	24936	2025-11-23 11:27:38.173172
1e843698-47a4-4557-bbc8-6cb6873b4767	00000000-0000-0000-0000-000000000000	b6e77b96-f2c8-4ab7-a44a-4703517118e6	false	943	2025-11-09 15:28:25.239425
20120046-7760-4589-8be4-a0d84ab57337	00000000-0000-0000-0000-000000000000	985a8111-a5f5-4c1a-89a7-400bd709390a	false	23623	2025-11-12 13:42:01.077416
204a0a27-caa1-4abf-b021-866e282f16f1	00000000-0000-0000-0000-000000000000	3f8f78d3-4789-4f4a-a551-f0668f47b6aa	false	26219	2025-11-14 16:59:10.070253
290f5a53-46ba-47d9-aa28-865b74dda61b	00000000-0000-0000-0000-000000000000	a39bd779-722c-488a-b44f-64478a396ae9	false	93345	2025-11-09 15:21:32.271054
2c4fef8a-1f68-48d8-b99a-92396fbea63e	00000000-0000-0000-0000-000000000000	2919d2a0-0508-4913-9d8f-1a9a4e566972	false	242828	2025-11-14 14:51:44.800236
2d13d5b1-745a-4492-b362-566f2239e7f8	00000000-0000-0000-0000-000000000000	2c60ecbd-b328-4dfb-8501-b409263029d2	false	28195	2025-11-14 14:46:56.081135
2e6e18ff-e9e1-4be3-9ff8-a5ef6f907a9a	00000000-0000-0000-0000-000000000000	7fc0467d-5df1-4389-b216-4f2f534e7513	false	58064	2025-11-09 14:20:45.369567
31ab5888-9a85-4b10-9bd8-60d335b1d569	00000000-0000-0000-0000-000000000000	eb880901-7583-48e0-a2c9-a5c8c2a51f54	false	9794	2025-11-21 17:15:28.698226
326dafc3-99f4-48a0-a2bb-17a527112eeb	00000000-0000-0000-0000-000000000000	629ca8a2-0c9b-4e9f-833e-8ebb418c6712	false	9460	2025-11-17 00:57:24.567743
33f8c8b8-2fc5-4017-a4d6-6cd73bc7fa23	00000000-0000-0000-0000-000000000000	e366329d-6fde-480e-84dd-8342cb509d95	false	18616	2025-11-26 12:36:54.030382
34380285-c068-4ba8-8fc4-0ba5081f0d5c	00000000-0000-0000-0000-000000000000	ce2ea147-552d-4625-b26e-3b42818e95da	true	10547	2025-11-21 17:22:04.451471
34fa24d7-9ae3-4eda-92d7-3d1572005920	00000000-0000-0000-0000-000000000000	2478577a-3af8-4b0b-bb5e-4980e12f8093	false	33050	2025-11-09 14:19:47.196493
38f9589b-e6f4-4368-8013-caa44e0cb9ab	00000000-0000-0000-0000-000000000000	891b75a3-ba62-4ec1-bb8b-bd276bd3089c	false	82455	2025-11-22 01:01:49.418063
3a1bb540-7577-4930-a811-79a14f2b1470	00000000-0000-0000-0000-000000000000	9580373f-725b-41dc-bcc4-3519eba501f3	false	5013	2025-11-09 14:43:24.143047
